fold,aspect,accuracy,f1_score,precision,recall
1,ketersediaan,0.8223495702005731,0.8086981786122186,0.7977784075205278,0.8223495702005731
2,ketersediaan,0.828080229226361,0.8309905488855256,0.8339734462491211,0.828080229226361
3,ketersediaan,0.9111747851002865,0.9087657858431498,0.9073642619443945,0.9111747851002865
4,ketersediaan,0.9568965517241379,0.9660687102919594,0.9756944444444445,0.9568965517241379
1,pelayanan,0.7277936962750716,0.7446591516422729,0.8014101397681814,0.7277936962750716
2,pelayanan,0.7535816618911175,0.756493617691954,0.7758762132103284,0.7535816618911175
3,pelayanan,0.6962750716332379,0.6950880366694708,0.7096194824271881,0.6962750716332379
4,pelayanan,0.7672413793103449,0.7910345743881674,0.8387063124487162,0.7672413793103449
1,tempat,0.8796561604584527,0.8706122189862142,0.8642315378873612,0.8796561604584527
2,tempat,0.8653295128939829,0.8658438028065535,0.8666401329587521,0.8653295128939829
3,tempat,0.833810888252149,0.8442306096494506,0.8679105287813562,0.833810888252149
4,tempat,0.882183908045977,0.8767301539201966,0.8761965171260523,0.882183908045977
1,kenyamanan,0.8911174785100286,0.8974571001839707,0.9038902487887165,0.8911174785100286
2,kenyamanan,0.8252148997134671,0.8413033925047391,0.8625319250748043,0.8252148997134671
3,kenyamanan,0.8997134670487106,0.8895054612812643,0.8804673915705435,0.8997134670487106
4,kenyamanan,0.9224137931034483,0.9265689554823485,0.9311058642653195,0.9224137931034483
1,antrian,0.7220630372492837,0.7453256218189948,0.8099576850071936,0.7220630372492837
2,antrian,0.8424068767908309,0.8473440635073693,0.8542428917787083,0.8424068767908309
3,antrian,0.8710601719197708,0.8701571118338138,0.870114996520247,0.8710601719197708
4,antrian,0.9109195402298851,0.9086809365272389,0.9068093662147254,0.9109195402298851
1,informasi,0.9684813753581661,0.9598417644932191,0.9532437848849727,0.9684813753581661
2,informasi,0.8939828080229226,0.8857312023676922,0.8802077436473585,0.8939828080229226
3,informasi,0.9455587392550143,0.9363683071963618,0.9296226896005064,0.9455587392550143
4,informasi,0.9568965517241379,0.9611113940813937,0.9653637572904943,0.9568965517241379
1,keamanan,0.9570200573065902,0.9499934783248972,0.9430693276082435,0.9570200573065902
2,keamanan,0.9255014326647565,0.9253868194842406,0.9252810227022261,0.9255014326647565
3,keamanan,0.9255014326647565,0.932171776220976,0.940493762843333,0.9255014326647565
4,keamanan,0.9281609195402298,0.9250650775662917,0.9243680533314353,0.9281609195402298
1,pengaduan,0.9914040114613181,0.987124569685226,0.9828819139415933,0.9914040114613181
2,pengaduan,0.9856733524355301,0.9785617120860673,0.9715519577014967,0.9856733524355301
3,pengaduan,1.0,1.0,1.0,1.0
4,pengaduan,0.9942528735632183,0.9913875915068402,0.9885387765887171,0.9942528735632183
1,aksesibilitas,0.9369627507163324,0.9258744341398076,0.9150454933896346,0.9369627507163324
2,aksesibilitas,0.9598853868194842,0.9579487525512312,0.956083232229364,0.9598853868194842
3,aksesibilitas,0.9713467048710601,0.9618758529348553,0.9590472572933784,0.9713467048710601
4,aksesibilitas,0.9741379310344828,0.9712833561192973,0.9688434479869408,0.9741379310344828
